iter	Passed	Remaining
149	7401	17271
150	7449	17218
151	7498	17168
152	7546	17115
153	7593	17061
154	7640	17006
155	7688	16954
156	7736	16901
157	7783	16847
158	7830	16793
159	7878	16742
160	7926	16690
161	7976	16641
162	8024	16590
163	8071	16537
164	8120	16486
165	8167	16433
166	8214	16378
167	8264	16332
168	8311	16279
169	8362	16233
170	8416	16193
171	8468	16149
172	8516	16097
173	8564	16046
174	8615	16000
175	8666	15953
176	8717	15907
177	8765	15857
178	8816	15809
179	8866	15762
180	8916	15715
181	8965	15665
182	9014	15616
183	9064	15566
184	9114	15518
185	9163	15470
186	9214	15422
187	9263	15372
188	9313	15326
189	9363	15277
190	9413	15228
191	9462	15178
192	9514	15133
193	9563	15085
194	9612	15035
195	9662	14986
196	9713	14939
197	9761	14888
198	9811	14839
199	9860	14791
200	9910	14743
201	9959	14693
202	10008	14642
203	10059	14596
204	10112	14551
205	10163	14505
206	10212	14455
207	10264	14409
208	10315	14362
209	10363	14311
210	10413	14263
211	10463	14214
212	10514	14168
213	10566	14121
214	10615	14071
215	10667	14025
216	10718	13977
217	10770	13932
218	10820	13884
219	10869	13833
220	10920	13786
221	10970	13738
222	11021	13689
223	11069	13639
224	11120	13591
225	11168	13541
226	11220	13493
227	11268	13443
228	11319	13395
229	11368	13345
230	11421	13300
231	11469	13248
232	11518	13199
233	11568	13150
234	11619	13102
235	11670	13054
236	11719	13005
237	11768	12955
238	11818	12906
239	11867	12856
240	11915	12805
241	11962	12753
242	12013	12705
243	12077	12671
244	12133	12629
245	12192	12588
246	12246	12543
247	12302	12501
248	12361	12460
249	12410	12410
250	12459	12359
251	12508	12309
252	12559	12262
253	12611	12214
254	12661	12165
255	12714	12118
256	12761	12066
257	12814	12020
258	12865	11971
259	12917	11924
260	12969	11876
261	13017	11824
262	13066	11774
263	13115	11724
264	13165	11675
265	13213	11623
266	13261	11572
267	13311	11523
268	13360	11473
269	13409	11423
270	13458	11372
271	13507	11322
272	13556	11272
273	13608	11224
274	13657	11174
275	13710	11126
276	13761	11078
277	13809	11027
278	13860	10978
279	13910	10929
280	13961	10880
281	14009	10830
282	14060	10781
283	14108	10730
284	14160	10682
285	14211	10633
286	14262	10585
287	14315	10537
288	14363	10486
289	14416	10439
290	14463	10388
291	14516	10340
292	14567	10291
293	14616	10241
294	14667	10192
295	14718	10143
296	14768	10094
297	14819	10045
298	14867	9994
299	14916	9944
300	14964	9893
301	15015	9844
302	15066	9795
303	15116	9746
304	15167	9697
305	15217	9647
306	15264	9596
307	15313	9545
308	15363	9496
309	15414	9447
310	15463	9397
311	15512	9347
312	15561	9297
313	15612	9247
314	15661	9198
315	15712	9148
316	15760	9098
317	15810	9048
318	15859	8998
319	15907	8947
320	15959	8899
321	16011	8850
322	16062	8801
323	16112	8752
324	16162	8702
325	16211	8652
326	16261	8603
327	16312	8554
328	16359	8502
329	16408	8453
330	16458	8403
331	16509	8354
332	16559	8304
333	16607	8253
334	16657	8204
335	16708	8155
336	16759	8106
337	16813	8058
338	16868	8011
339	16924	7964
340	16972	7913
341	17020	7863
342	17071	7814
343	17122	7764
344	17173	7715
345	17224	7666
346	17278	7618
347	17328	7568
348	17380	7519
349	17433	7471
350	17492	7425
351	17549	7378
352	17599	7329
353	17651	7279
354	17699	7229
355	17751	7180
356	17802	7130
357	17852	7081
358	17907	7033
359	17956	6983
360	18007	6933
361	18059	6884
362	18125	6840
363	18178	6792
364	18234	6744
365	18288	6695
366	18349	6649
367	18408	6602
368	18465	6555
369	18525	6508
370	18580	6460
371	18639	6413
372	18694	6365
373	18750	6317
374	18806	6268
375	18863	6220
376	18919	6172
377	18969	6122
378	19021	6072
379	19074	6023
380	19124	5973
381	19174	5922
382	19224	5872
383	19272	5822
384	19326	5772
385	19381	5723
386	19431	5673
387	19484	5624
388	19537	5575
389	19591	5525
390	19645	5476
391	19699	5427
392	19750	5377
393	19801	5327
394	19851	5276
395	19904	5227
396	19964	5179
397	20020	5130
398	20067	5079
399	20120	5030
